Cities,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Canada,42500,43800,45500,45400,45000,44800,45800,46700,48000,48200,49100,50300
Newfoundland and Labrador,37300,37400,38800,37400,39000,43100,42000,44400,45600,44000,45700,40200
Prince Edward Island,36500,38900,42400,42900,41200,38200,38400,40000,37200,42300,44900,43100
Nova Scotia,37400,40300,38200,38800,39600,42400,40800,42700,41200,41400,43000,43000
New Brunswick,36300,37100,38600,38100,41500,37000,36000,38900,38100,37900,38400,38200
Quebec,38100,39300,40800,40100,39300,41000,40100,41100,42100,40100,41800,42300
Ontario,43900,44000,46300,47200,46500,43900,45100,46200,48200,50200,51100,52200
Manitoba,36800,40000,38600,38000,39200,43600,41900,43700,45200,44100,45500,44400
Saskatchewan,39200,41100,43000,43200,43200,46600,48700,47200,52100,50100,49700,47400
Alberta,54400,59800,62200,63300,62200,60000,64700,66000,67500,68600,64200,65400
British Columbia,46600,48400,48500,46000,46700,47900,50900,49600,49700,49500,53000,57700
St John's,34400,33000,38000,38300,40000,42300,42900,48400,49500,48300,45700,43400
Halifax,40100,43400,39200,41300,43200,48100,45100,47600,44400,43900,44800,46500
Saint John,38600,41900,41700,43000,42500,40400,30200,43000,39400,39900,43200,40600
Saguenay,31600,33100,33800,34100,35400,38400,37000,38200,33000,35400,37800,35100
Quebec - CMA,38100,38000,42100,43500,40800,43700,43500,47000,44100,38500,40900,44600
Sherbrooke,32900,34800,36100,35400,36600,34100,32600,35300,36200,41500,37700,35800
Trois-Rivières,28700,36800,35800,36500,34800,34300,31300,34100,33600,31800,38500,36200
Montreal,40400,41200,42400,41100,40400,42900,41000,42600,46400,42300,45100,45200
Ottawa - Gatineau,45400,48100,49100,50900,48400,51100,43700,48200,50600,48800,62300,51400
Ottawa - Gatineau (Ontario),45000,49200,50900,53100,50600,52600,45400,49600,55000,49900,66700,53400
Ottawa - Gatineau (Québec),46400,44800,42100,42200,38600,46600,37100,41800,37600,44400,44600,44200
Kingston,37800,42800,44500,37800,37500,46500,47100,44800,43000,46900,46700,47200
Oshawa,44600,38200,37400,39700,42800,39700,47200,43800,42500,49700,48200,50800
Toronto,45600,45700,50200,51900,51100,46200,47900,49200,53300,55500,55900,59800
Hamilton,43800,43800,45700,43000,46000,41600,42900,52200,43900,49300,49000,48300
St. Catharines-Niagara,39800,39100,37500,41800,42600,46900,42000,38300,36400,47200,42000,42100
Kitchener,45800,50800,46100,50800,42900,45100,40200,49800,46300,54000,54000,55800
London,44400,42800,36300,38000,34800,30700,41600,40300,39800,37500,33600,39800
Windsor,37700,38700,38500,34300,35600,34600,42100,35200,33500,32100,38200,32000
Greater Sudbury,39200,39900,41700,39300,38100,45000,44700,40800,40300,39700,35500,41200
Thunder Bay,37100,38900,35000,39400,42800,36800,40500,39000,38800,45500,42800,44800
Winnipeg,37200,40400,38100,37600,39300,42900,42100,42800,43700,42400,44600,43700
Regina,36000,44000,43700,44100,53400,51600,53300,53900,57600,53700,54600,53400
Saskatoon,38800,42800,40800,44000,42500,50100,47300,48000,57600,50900,52300,44300
Calgary,58000,65800,71000,61800,61700,63200,67300,70000,66500,63900,63400,66700
Edmonton,50100,58400,56900,66800,65800,58600,57900,61800,67800,72200,66800,66200
Abbotsford,49200,44000,42100,47700,42500,47000,53100,44900,55300,46800,55400,53900
Vancouver,46600,50600,47800,45800,49000,47300,54000,51100,51300,53000,54200,59300
Victoria,47400,47300,47200,45300,38900,52900,45300,47000,45400,42700,54500,54900
