Geography,Mortgage,HELOC,Line Of Credit,Auto Loan,Credit Card,All Other Credit
Canada,1230.86 ,170.26 ,63.59 ,470.02 ,46.42 ,235.83 
Large,1437.58 ,183.80 ,60.37 ,481.14 ,42.89 ,207.58 
Calgary,1485.66 ,194.04 ,78.53 ,515.22 ,46.08 ,231.01 
Edmonton,1420.65 ,194.07 ,86.87 ,542.78 ,48.95 ,264.47 
Montréal,1050.52 ,163.30 ,42.23 ,433.70 ,59.40 ,170.05 
Ottawa-Gatineau,1198.22 ,151.92 ,65.76 ,454.69 ,45.11 ,213.12 
Toronto,1635.25 ,188.74 ,66.59 ,489.38 ,35.21 ,204.29 
Vancouver,1772.20 ,199.41 ,49.70 , ,33.59 ,223.11 
Medium,1145.40 ,151.85 ,63.98 ,449.67 ,44.19 ,219.81 
Halifax,1099.44 ,172.65 ,95.68 ,437.57 ,49.41 ,240.42 
Hamilton,1328.58 ,158.65 ,68.13 ,466.18 ,38.22 ,204.14 
Kitchener-Cambridge-Waterloo,1259.01 ,160.38 ,68.57 ,443.84 ,35.11 ,223.87 
London,1064.33 ,152.39 ,77.69 ,447.96 ,37.19 ,222.72 
Oshawa,1377.41 ,148.44 ,68.35 ,434.65 ,40.46 ,227.57 
Québec ,847.15 ,112.63 ,18.53 ,413.96 ,70.40 ,168.26 
Regina,1315.70 ,172.21 ,99.58 ,525.89 ,49.03 ,301.70 
Saskatoon,1250.51 ,172.58 ,88.81 ,514.10 ,47.80 ,280.73 
St. Catharines-Niagara,1050.17 ,147.35 ,65.99 ,436.96 ,39.89 ,211.47 
Victoria,1530.36 ,166.79 ,50.85 ,467.52 ,39.34 ,198.60 
Windsor,943.45 ,137.13 ,66.84 ,454.20 ,37.52 ,222.11 
Winnipeg,1056.09 ,151.07 ,65.19 ,477.73 ,40.84 ,231.24 
Small,1007.85 ,157.05 ,67.41 ,465.64 ,53.24 ,274.47 
Abbotsford-Mission,1385.80 ,164.92 ,51.39 ,487.88 ,40.04 ,252.53 
Barrie,1310.81 ,153.93 ,73.63 ,448.27 ,43.02 ,235.95 
Brantford,1118.22 ,153.18 ,73.27 ,443.46 ,41.51 ,257.64 
Charlottetown,927.47 ,180.73 ,85.30 ,416.12 ,46.77 ,251.96 
Greater Sudbury,1076.65 ,175.88 ,88.10 ,452.44 ,47.68 ,284.87 
Guelph,1314.17 ,146.44 ,61.44 ,441.99 ,34.80 ,240.35 
Kelowna,1409.10 ,192.00 ,60.61 ,510.96 ,41.82 ,242.12 
Kingston,1156.81 ,151.15 ,77.88 ,443.13 ,39.21 ,215.95 
Moncton,853.60 ,144.16 ,86.25 ,422.79 ,61.58 ,282.28 
Other Cities,991.43 ,157.73 ,67.83 ,472.42 ,54.32 ,282.05 
Peterborough,1116.64 ,142.10 ,71.61 ,429.21 ,38.20 ,236.86 
Saguenay,713.95 ,134.90 ,22.41 ,422.36 ,64.83 ,196.19 
Saint John,898.67 ,182.58 ,109.43 ,420.53 ,56.83 ,284.76 
Sherbrooke,802.99 ,136.67 ,27.31 ,403.15 ,66.16 ,182.60 
St. John's,1194.55 ,163.04 ,105.17 ,462.11 ,60.01 ,312.78 
Thunder Bay,1029.65 ,162.60 ,80.29 ,473.99 ,43.33 ,259.88 
Trois-Rivieres,685.01 ,70.66 ,17.18 ,407.52 ,68.85 ,174.03 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
